clade	mut_type	logSize	min_ci	max_ci
19A	missense	0.16566797918516285	0.11207616393758445	0.23177539861680227
19A	nonsense	0.28266325373222234	0.14580165162110512	0.44798621704296
19A	synonymous	0.1545019994721367	0.0612277717642739	0.2691673525004109
19A	undoStop	0.4716226812931205		
19B	missense	0.2730202351854695	0.195020026232949	0.3609585700338778
19B	nonsense	0.1971730345302294	0.0752574989159953	0.32618822518741986
19B	synonymous	0.3015741793970375	0.13981540321389888	0.4884652535629586
20A	missense	0.2954523910190217	0.27568413400010755	0.3157253557833619
20A	nonsense	0.3607241772557581	0.2977992912582348	0.4284257136684837
20A	synonymous	0.2633356531261416	0.23156312916355265	0.29673486393210297
20A	undoStop	0.24482549279661708	0.1472694014174306	0.35543742734674094
20B	missense	0.2936608254978991	0.2731227359393387	0.3145578925689267
20B	nonsense	0.324870174194939	0.263517825068368	0.3895108095616242
20B	synonymous	0.30846029892441695	0.2695985778036346	0.3480917922646366
20B	undoStop	0.2603470251994281	0.12470518205942063	0.413851692188402
20C	missense	0.29942560559023906	0.26825627798205653	0.33210798916312684
20C	nonsense	0.35822284544081817	0.28063099052566276	0.4428898857193624
20C	synonymous	0.32106152990200215	0.2675055525259804	0.3781100711534861
20D	missense	0.27193477277202327	0.19854971715668582	0.3529689363133685
20D	nonsense	0.2808675395383188	0.08600857018970891	0.5049227530005719
20D	synonymous	0.46826166360146876	0.27219713478107643	0.6903700208188398
20D	undoStop	0.0		
20E (EU1)	missense	0.2656020226446814	0.23470390736753677	0.2975963018557726
20E (EU1)	nonsense	0.3161944718049164	0.2335664605876309	0.4060743758844519
20E (EU1)	synonymous	0.2872729039251783	0.23514061029277308	0.3465689278967782
20F	missense	0.2531335947800184	0.11550848205760883	0.4162148955298093
20F	synonymous	0.37756132247899854	0.1503855412266648	0.6616348692800851
20G	missense	0.24340964911337032	0.2233141286841203	0.26382051956788394
20G	nonsense	0.22630184437307835	0.15383014986846796	0.3067489085637979
20G	synonymous	0.3089877886041043	0.26583509258032856	0.35294274617744426
20H (Beta,V2)	missense	0.31129095222990366	0.2619001521010427	0.3633719901480054
20H (Beta,V2)	nonsense	0.2247140676259851	0.09030899869919437	0.3836844800480024
20H (Beta,V2)	synonymous	0.3310263202190857	0.19967414414898577	0.4789986623519373
20H (Beta,V2)	undoStop	0.0		
20I (Alpha,V1)	missense	0.3001628786660292	0.28881860970319434	0.31170446289240267
20I (Alpha,V1)	nonsense	0.36916640223948255	0.33747707390245396	0.4006125848624091
20I (Alpha,V1)	synonymous	0.2912275147929817	0.2691428328422825	0.31394841210364155
20I (Alpha,V1)	undoStop	0.19898195165148955	0.18739252870943107	0.21069949562223958
20J (Gamma,V3)	missense	0.1943653562860274	0.1660387737214646	0.2246079740633903
20J (Gamma,V3)	nonsense	0.1873766050628801	0.10153635114417589	0.2881423096500287
20J (Gamma,V3)	synonymous	0.2069461779164649	0.15888775518139925	0.2596944091867827
20J (Gamma,V3)	undoStop	0.29635854173060727		
21A (Delta)	missense	0.07930181445726474	0.04622083178168005	0.11660239348441395
21A (Delta)	nonsense	0.11660419017879814	0.0316873679646296	0.2202523592266187
21A (Delta)	synonymous	0.06161769197415241	0.0	0.1393117271258185
21B (Kappa)	missense	0.3445376051312244	0.16929367085941133	0.5566164065830003
21B (Kappa)	nonsense	0.1505149978319906		
21B (Kappa)	synonymous	0.25256163297719614	0.0776633338151132	0.44687353956259795
21C (Epsilon)	missense	0.282319655886085	0.2494543350917882	0.31725937964506046
21C (Epsilon)	nonsense	0.23670006134050736	0.14736321249290443	0.33570336444700183
21C (Epsilon)	synonymous	0.3049076875374822	0.23944222006838908	0.3755534626146897
21D (Eta)	missense	0.30485506356419556	0.19096831409626744	0.4328779885171831
21D (Eta)	nonsense	0.2840336111963653	0.06816017924566606	0.5340199971093208
21D (Eta)	synonymous	0.33240199413417293	0.11411568228211873	0.5748886835595631
21E (Theta)	missense	0.12041199826559248	0.0	0.25085832971998434
21E (Theta)	synonymous	0.9542425094393249		
21F (Iota)	missense	0.22491854677334897	0.18869495145495235	0.2639573012957192
21F (Iota)	nonsense	0.3229611046757451	0.2131820228378977	0.44163409365066697
21F (Iota)	synonymous	0.2341800959867064	0.15996470479469055	0.3148153967878907
21F (Iota)	undoStop	0.3010299956639812		
21G (Lambda)	missense	0.32173396224425954	0.21583735528147918	0.4390418520656028
21G (Lambda)	nonsense	0.1505149978319906		
21G (Lambda)	synonymous	0.20637027738125205	0.0	0.4894189570798156
21H (Mu)	missense	0.24298746463311538	0.19111525445644287	0.29965117593933754
21H (Mu)	nonsense	0.38032701037155875	0.15563025007672873	0.6242989334254396
21H (Mu)	synonymous	0.17273610249875843	0.05644312418699647	0.3056802249773795
21I (Delta)	missense	0.2734992751159784	0.2541897710447957	0.2930912141102938
21I (Delta)	nonsense	0.2777969085324777	0.22524532860356952	0.3357079711478003
21I (Delta)	synonymous	0.25925766083741913	0.22823803048965222	0.2923748061950679
21I (Delta)	undoStop	0.0		
21J (Delta)	missense	0.30947806668259953	0.30341550717801247	0.31538355794510786
21J (Delta)	nonsense	0.30741821063401126	0.28969268122938846	0.3249551980585885
21J (Delta)	synonymous	0.2709157276183638	0.26107723647838915	0.2808824186715686
21J (Delta)	undoStop	0.12411356165197843	0.06020599913279624	0.19683140872660324
21K (Omicron)	missense	0.19386704194517212	0.18561529559779358	0.20226889354628763
21K (Omicron)	nonsense	0.19861290673765486	0.1714775058639225	0.22665285982308445
21K (Omicron)	synonymous	0.20479022763460264	0.1914037908946608	0.2180974487541223
21K (Omicron)	undoStop	0.4126604983636214	0.21214469986695667	0.6232528504397928
21L (Omicron)	missense	0.23604032679331327	0.22511115947454208	0.24709355605345024
21L (Omicron)	nonsense	0.30461757195558187	0.26812982823152537	0.34192896825426367
21L (Omicron)	synonymous	0.26653551683190363	0.24776141842905713	0.2849240038581883
21L (Omicron)	undoStop	0.30726745519470083	0.10460604209194217	0.5554978998974978
21M (Omicron)	missense	0.4206859981113625	0.0	0.9796656219706695
21M (Omicron)	nonsense	0.3010299956639812		
21M (Omicron)	synonymous	0.0		
22A (Omicron)	missense	0.1984952341532482	0.17637656691076298	0.22130936402882526
22A (Omicron)	nonsense	0.20678699712840068	0.1462318691251419	0.27125210233181224
22A (Omicron)	synonymous	0.21196927416944075	0.17175496236050455	0.2562343214986602
22B (Omicron)	missense	0.25222414097997214	0.2433050798021688	0.26097843707086527
22B (Omicron)	nonsense	0.26032960390752785	0.23254201524604293	0.28923391434596696
22B (Omicron)	synonymous	0.24380306515183475	0.22753934122140876	0.2605926077413021
22B (Omicron)	undoStop	0.5197953115119063		
22C (Omicron)	missense	0.1662052541136259	0.14792682501537147	0.18467888377279754
22C (Omicron)	nonsense	0.297951081988477	0.21153835669319493	0.39293613140184563
22C (Omicron)	synonymous	0.18827644895525847	0.15813298625800495	0.22068104042487252
22C (Omicron)	undoStop	0.12300653600095046	0.0	0.2803797560857868
22D (Omicron)	missense	0.24907556664341238	0.21845982563460367	0.28192426073715615
22D (Omicron)	nonsense	0.21575516926699703	0.1320816094804541	0.31122762497199685
22D (Omicron)	synonymous	0.255556634004498	0.20575026066770136	0.30848810007316835
22E (Omicron)	missense	0.24381304752600663	0.2274548876750734	0.2606494554845466
22E (Omicron)	nonsense	0.23525424439144493	0.18381291793847182	0.2883649138939495
22E (Omicron)	synonymous	0.2480063461622431	0.21521360374642015	0.28230710182586183
22F (Omicron)	missense	0.21731285905929695	0.20288737045871047	0.2319001287227792
22F (Omicron)	nonsense	0.2590002980901377	0.19983784774854182	0.3275522334337847
22F (Omicron)	synonymous	0.2527356407555932	0.22326918876718127	0.28412242892818246
22F (Omicron)	undoStop	0.22843763431367514	0.11770900250796293	0.36153041613303494
